year,receiving_country,confucius_institutes,cultural_centers,cultural_events,sister_cities,international_students,budget_support,humanitarian_assistance,infrastructure_investments,debt_relief,total_financial_pd,government_visits,military_visits,total_elite_visits,financialpd_oda,financialpd_oof,infrastructure_visible,Infrastructure_not_visible,financialpd_commit,financialpd_imp,infrastructure_govtsector
2002,Papua New Guinea,0,0,0,3,2,2260176,113009,870365,0,3243550,4,1,5,3243550.158,0,"870,365", -   ,113008.8111,3130541.346, -   
2003,Papua New Guinea,0,0,0,3,5,0,0,0,0,0,8,0,8,0,0, -   , -   ,0,0, -   
2004,Papua New Guinea,0,0,0,3,4,9592406,19824,6394937,0,16007167,8,0,8,16007166.96,0, -   ,"6,394,937",9592405.59,6414761.365, -   
2005,Papua New Guinea,0,0,0,3,9,0,0,32101794,0,32101794,9,1,10,32101794.36,0,"32,101,794", -   ,0,32101794.36, -   
2006,Papua New Guinea,0,0,0,4,16,0,0,0,0,0,10,0,10,0,0, -   , -   ,0,0, -   
2007,Papua New Guinea,0,0,0,4,30,0,0,768391,0,768391,3,0,3,768390.8648,0,"768,391", -   ,0,768390.8648, -   
2008,Papua New Guinea,0,0,0,4,69,853306,0,0,0,853306,4,0,4,853305.6112,0, -   , -   ,853305.6112,0, -   
2009,Papua New Guinea,0,0,0,4,81,0,0,106382974,0,106382974,6,2,8,106382974,0,"5,957,664","100,425,310",5957663.677,100425310.3, -   
2010,Papua New Guinea,0,0,0,4,98,0,0,81669300,0,81669300,7,1,8,37730942.64,43938357.17,"37,730,943","43,938,357",0,81669299.81, -   
2011,Papua New Guinea,0,0,2,4,106,0,0,10065386,0,10065386,9,0,9,10065385.9,0,"10,065,386", -   ,0,10065385.9, -   
2012,Papua New Guinea,0,0,0,4,113,10165203,0,1677724,0,11842927,4,0,4,11842927.5,0, -   ,"1,677,724",1677724.328,10165203.17, -   
2013,Papua New Guinea,0,0,0,4,144,0,0,11487332,0,11487332,6,0,6,11487332.38,0,"11,487,332", -   ,11487332.38,0, -   
2014,Papua New Guinea,0,0,0,4,210,0,0,0,0,0,5,0,5,0,0, -   , -   ,0,0, -   
2015,Papua New Guinea,0,0,1,4,287,0,0,0,0,0,2,0,2,0,0, -   , -   ,0,0, -   
2016,Papua New Guinea,0,0,,4,348,0,0,0,0,0,,,0,0,0, -   , -   ,0,0, -   
2000,Philippines,0,0,0,9,,0,0,0,0,0,7,2,9,0,0, -   , -   ,0,0, -   
2001,Philippines,0,0,4,9,,0,0,79572170,0,79572170,13,1,14,79572169.56,0,"79,572,170", -   ,0,79572169.56, -   
2002,Philippines,0,0,0,11,638,0,0,759660836,0,759660836,4,3,7,56470502.93,0,"703,190,334","56,470,503",703190333.6,56470502.93, -   
2003,Philippines,0,0,0,12,602,0,223568,0,0,223568,11,1,12,223567.7197,0, -   , -   ,0,223567.7197, -   
2004,Philippines,0,0,0,15,1375,0,103040,0,0,103040,9,2,11,103039.7057,0, -   , -   ,0,103039.7057, -   
2005,Philippines,0,0,0,17,2176,0,0,0,0,0,11,2,13,0,0, -   , -   ,0,0, -   
2006,Philippines,1,0,0,18,1512,0,1521344,0,0,1521344,19,3,22,1521343.802,0, -   , -   ,0,1521343.802, -   
2007,Philippines,1,0,0,23,1335,0,0,0,0,0,25,2,27,0,0, -   , -   ,0,0, -   
2008,Philippines,2,0,0,23,2362,0,0,0,0,0,0,0,0,0,0, -   , -   ,0,0, -   
2009,Philippines,2,0,1,24,2273,0,0,0,0,0,7,1,8,0,0, -   , -   ,0,0, -   
2010,Philippines,2,0,0,25,2989,0,0,279840605,0,279840605,6,0,6,0,154376549.7,"125,464,055","154,376,550",0,279840604.8, -   
2011,Philippines,3,0,0,27,2662,0,0,0,0,0,4,1,5,0,0, -   , -   ,0,0, -   
2012,Philippines,3,0,0,27,2642,0,0,0,0,0,8,0,8,0,0, -   , -   ,0,0, -   
2013,Philippines,3,0,1,27,2917,0,1641047,0,0,1641047,2,1,3,1641047.483,0, -   , -   ,0,1641047.483, -   
2014,Philippines,3,0,0,27,2929,0,0,0,0,0,1,0,1,0,0, -   , -   ,0,0, -   
2015,Philippines,4,0,0,27,3343,0,17903,0,0,17903,2,0,2,17902.98883,0, -   , -   ,0,17902.98883, -   
2016,Philippines,4,0,,29,3061,0,1209262,16155870,0,17365132,,,0,17365131.59,0,"16,155,870", -   ,16155869.93,1209261.666, -   
2000,Samoa,0,0,1,0,,0,0,0,0,0,6,0,6,0,0, -   , -   ,0,0, -   
2001,Samoa,0,0,1,0,,0,0,0,0,0,4,0,4,0,0, -   , -   ,0,0, -   
2002,Samoa,0,0,2,0,7,0,0,0,0,0,6,0,6,0,0, -   , -   ,0,0, -   
2003,Samoa,0,0,1,0,8,0,0,0,0,0,4,0,4,0,0, -   , -   ,0,0, -   
2004,Samoa,0,0,1,0,9,0,206079,0,0,206079,9,0,9,206079.4114,0, -   , -   ,0,206079.4114, -   
2005,Samoa,0,0,1,0,9,0,0,0,0,0,7,0,7,0,0, -   , -   ,0,0, -   
2006,Samoa,0,0,0,0,10,0,0,119561715,21153226,140714941,8,0,8,45065569.33,0,"119,561,715", -   ,0,140714941,"95,649,372"
2007,Samoa,0,0,1,0,26,0,0,39060765,0,39060765,6,0,6,39060765.42,0,"39,060,765", -   ,0,39060765.42,"39,060,765"
2008,Samoa,0,0,0,0,37,0,0,56535437,0,56535437,8,0,8,56535436.83,0,"56,535,437", -   ,0,56535436.83, -   
2009,Samoa,0,0,1,0,68,0,8129022,1981364,0,10110386,9,0,9,10110385.97,0,"1,981,364", -   ,1981364.23,8129021.737,"1,981,364"
2010,Samoa,0,0,0,0,67,0,0,0,0,0,6,0,6,0,0, -   , -   ,0,0, -   
2011,Samoa,0,0,2,0,82,0,0,36063488,0,36063488,7,0,7,36063488.22,0,"13,319,848","22,743,640",0,36063488.22, -   
2012,Samoa,0,0,1,0,97,0,0,11834721,0,11834721,6,0,6,11834720.98,0,"11,834,721", -   ,0,11834720.98, -   
2013,Samoa,0,0,0,0,96,0,0,2199908,0,2199908,8,0,8,2199907.717,0,"2,199,908", -   ,0,2199907.717, -   
2014,Samoa,0,0,0,0,113,0,0,31700000,0,31700000,7,0,7,31700000,0,"31,700,000", -   ,0,31700000, -   
2015,Samoa,0,0,1,1,129,51933098,0,0,0,51933098,6,0,6,0,0, -   , -   ,51933098.25,0, -   
2016,Samoa,0,0,,1,177,0,0,0,0,0,,,0,0,0, -   , -   ,0,0, -   
2000,Singapore,0,0,15,1,,0,0,0,0,0,28,2,30,0,0, -   , -   ,0,0, -   
2001,Singapore,0,0,1,1,,0,0,0,0,0,16,2,18,0,0, -   , -   ,0,0, -   
2002,Singapore,0,0,0,1,583,0,0,0,0,0,3,1,4,0,0, -   , -   ,0,0, -   
2003,Singapore,0,0,0,1,551,0,0,0,0,0,4,0,4,0,0, -   , -   ,0,0, -   
2004,Singapore,0,0,0,1,929,0,0,0,0,0,4,0,4,0,0, -   , -   ,0,0, -   
2005,Singapore,0,0,0,1,1322,0,0,0,0,0,4,0,4,0,0, -   , -   ,0,0, -   
2006,Singapore,1,0,0,1,1392,0,0,0,0,0,9,1,10,0,0, -   , -   ,0,0, -   
2007,Singapore,1,0,1,1,1480,0,0,0,0,0,15,0,15,0,0, -   , -   ,0,0, -   
2008,Singapore,1,0,0,1,2155,0,0,0,0,0,9,1,10,0,0, -   , -   ,0,0, -   
2009,Singapore,1,0,0,1,3198,0,0,0,0,0,16,0,16,0,0, -   , -   ,0,0, -   
2010,Singapore,1,0,0,1,3608,0,0,0,0,0,17,0,17,0,0, -   , -   ,0,0, -   
2011,Singapore,1,0,0,1,4483,0,0,0,0,0,6,1,7,0,0, -   , -   ,0,0, -   
2012,Singapore,1,0,1,1,4250,0,0,0,0,0,5,2,7,0,0, -   , -   ,0,0, -   
2013,Singapore,1,0,0,1,5290,0,0,0,0,0,7,3,10,0,0, -   , -   ,0,0, -   
2014,Singapore,1,0,0,1,5031,0,0,0,0,0,9,0,9,0,0, -   , -   ,0,0, -   
2015,Singapore,1,1,1,1,4865,0,0,0,0,0,9,2,11,0,0, -   , -   ,0,0, -   
2016,Singapore,1,1,,1,4983,0,0,0,0,0,,,0,0,0, -   , -   ,0,0, -   
2000,Thailand,0,0,2,5,,0,0,0,0,0,19,3,22,0,0, -   , -   ,0,0, -   
2001,Thailand,0,0,2,6,,0,0,0,0,0,23,4,27,0,0, -   , -   ,0,0, -   
2002,Thailand,0,0,5,8,1149,0,0,0,0,0,14,0,14,0,0, -   , -   ,0,0, -   
2003,Thailand,0,0,1,8,1554,0,0,0,0,0,16,0,16,0,0, -   , -   ,0,0, -   
2004,Thailand,0,0,1,10,2371,0,0,0,0,0,14,1,15,0,0, -   , -   ,0,0, -   
2005,Thailand,0,0,1,15,3594,0,1777535,0,0,1777535,22,1,23,1777535.098,0, -   , -   ,0,1777535.098, -   
2006,Thailand,8,0,1,16,5522,0,3605309,0,0,3605309,15,4,19,3605309.295,0, -   , -   ,0,3605309.295, -   
2007,Thailand,11,0,1,17,7306,0,0,0,0,0,7,5,12,0,0, -   , -   ,0,0, -   
2008,Thailand,11,0,0,21,8476,0,0,0,0,0,8,3,11,0,0, -   , -   ,0,0, -   
2009,Thailand,12,0,0,23,11379,0,0,0,0,0,15,7,22,0,0, -   , -   ,0,0, -   
2010,Thailand,12,0,2,24,13177,0,1857678,1244644,0,3102322,12,2,14,1857678.155,1244644.364,"1,244,644", -   ,1244644.364,1857678.155, -   
2011,Thailand,12,0,0,28,14145,0,6263561,0,0,6263561,6,0,6,6263561.431,0, -   , -   ,0,6263561.431, -   
2012,Thailand,12,1,0,28,16675,0,85178,0,0,85178,13,1,14,85177.77496,0, -   , -   ,0,85177.77496, -   
2013,Thailand,12,2,1,30,20106,0,0,0,0,0,15,0,15,0,0, -   , -   ,0,0, -   
2014,Thailand,12,2,0,31,21296,0,0,0,0,0,10,0,10,0,0, -   , -   ,0,0, -   
2015,Thailand,13,2,0,33,19976,0,0,0,0,0,15,2,17,0,0, -   , -   ,0,0, -   
2016,Thailand,14,2,,34,23044,0,0,0,0,0,,,0,0,0, -   , -   ,0,0, -   
2000,Timor-Leste,0,0,0,0,,0,0,0,0,0,0,0,0,0,0, -   , -   ,0,0, -   
2001,Timor-Leste,0,0,0,0,,0,0,0,0,0,0,0,0,0,0, -   , -   ,0,0, -   
2002,Timor-Leste,0,0,0,0,,0,0,0,0,0,1,2,3,0,0, -   , -   ,0,0, -   
2003,Timor-Leste,0,0,0,0,,0,0,0,0,0,5,0,5,0,0, -   , -   ,0,0, -   
2004,Timor-Leste,0,0,0,0,,0,0,0,0,0,7,0,7,0,0, -   , -   ,0,0, -   
2005,Timor-Leste,0,0,0,0,,0,0,0,0,0,3,0,3,0,0, -   , -   ,0,0, -   
2006,Timor-Leste,0,0,0,0,3,0,0,12875877,0,12875877,2,0,2,12875876.95,0,"12,875,877", -   ,0,12875876.95,"12,875,877"
2007,Timor-Leste,0,0,0,0,6,0,0,748779,0,748779,0,0,0,748779.1374,0,"748,779", -   ,0,748779.1374,"748,779"
2008,Timor-Leste,0,0,0,0,20,0,0,689457,0,689457,4,0,4,689456.5467,0,"689,457", -   ,0,689456.5467, -   
2009,Timor-Leste,0,0,0,0,23,0,0,0,0,0,3,0,3,0,0, -   , -   ,0,0, -   
2010,Timor-Leste,0,0,0,0,27,0,0,7546189,0,7546189,5,0,5,7546188.528,0,"7,546,189", -   ,0,7546188.528,"7,546,189"
2011,Timor-Leste,0,0,0,0,,0,0,0,0,0,4,1,5,0,0, -   , -   ,0,0, -   
2012,Timor-Leste,0,0,0,0,37,0,0,0,0,0,2,0,2,0,0, -   , -   ,0,0, -   
2013,Timor-Leste,0,0,1,0,46,0,0,0,0,0,1,0,1,0,0, -   , -   ,0,0, -   
2014,Timor-Leste,0,0,0,0,66,0,0,0,0,0,2,1,3,0,0, -   , -   ,0,0, -   
2015,Timor-Leste,0,0,0,0,135,0,0,50914802,0,50914802,6,1,7,50914802.21,0, -   ,"50,914,802",50914802.21,0, -   
2016,Timor-Leste,0,0,,0,152,0,0,0,0,0,,,0,0,0, -   , -   ,0,0, -   
2000,Tonga,0,0,0,0,,0,0,0,0,0,4,1,5,0,0, -   , -   ,0,0, -   
2001,Tonga,0,0,0,0,,0,0,0,0,0,5,2,7,0,0, -   , -   ,0,0, -   
2002,Tonga,0,0,1,0,3,0,0,9011260,0,9011260,10,0,10,9011259.917,0,"9,011,260", -   ,0,9011259.917, -   
2003,Tonga,0,0,1,0,7,0,0,0,0,0,4,0,4,0,0, -   , -   ,0,0, -   
2004,Tonga,0,0,0,0,9,0,0,0,0,0,8,0,8,0,0, -   , -   ,0,0, -   
2005,Tonga,0,0,0,0,14,0,0,0,0,0,11,0,11,0,0, -   , -   ,0,0, -   
2006,Tonga,0,0,1,0,31,0,0,5447737,0,5447737,6,0,6,5447737.096,0,"5,447,737", -   ,0,5447737.096,"2,723,869"
2007,Tonga,0,0,1,0,46,0,0,62255637,0,62255637,9,0,9,62255636.85,0,"62,255,637", -   ,0,62255636.85, -   
2008,Tonga,0,0,2,0,73,0,0,109399957,0,109399957,6,1,7,109399956.8,0,"108,407,741","992,216",0,109399956.8, -   
2009,Tonga,0,0,0,0,90,0,135710,0,0,135710,3,0,3,135709.8788,0, -   , -   ,0,135709.8788, -   
2010,Tonga,0,0,0,0,100,0,0,0,0,0,5,0,5,0,0, -   , -   ,0,0, -   
2011,Tonga,0,0,2,0,107,0,0,6420006,0,6420006,4,0,4,6420005.611,0,"6,420,006", -   ,0,6420005.611, -   
2012,Tonga,0,0,0,0,101,0,0,0,0,0,5,1,6,0,0, -   , -   ,0,0, -   
2013,Tonga,0,0,1,0,94,8134027,0,0,0,8134027,5,1,6,8134026.911,0, -   , -   ,8134026.911,0, -   
2014,Tonga,0,0,2,1,103,0,632000,0,0,632000,5,0,5,632000,0, -   , -   ,0,632000, -   
2015,Tonga,0,0,2,1,100,0,0,21843117,0,21843117,5,3,8,21760908.7,0,"21,794,759","48,358",9671514.977,12171601.6,"21,760,909"
2016,Tonga,0,0,,1,105,0,0,26641515,0,26641515,,,0,19379.73625,0,"26,641,515", -   ,26622135.25,19379.73625, -   
2000,Vanuatu,0,0,0,1,,0,0,0,11602407,11602407,5,0,5,11602407.31,0, -   , -   ,11602407.31,0, -   
2001,Vanuatu,0,0,0,1,,682047,0,0,0,682047,7,0,7,682047.1677,0, -   , -   ,0,682047.1677, -   
2002,Vanuatu,0,0,0,1,,0,0,0,0,0,3,0,3,0,0, -   , -   ,0,0, -   
2003,Vanuatu,0,0,0,1,,0,0,0,0,0,6,0,6,0,0, -   , -   ,0,0, -   
2004,Vanuatu,0,0,0,1,3,0,0,31674406,0,31674406,7,0,7,31674405.53,0,"31,674,406", -   ,0,31674405.53, -   
2005,Vanuatu,0,0,1,1,2,0,0,0,0,0,10,0,10,0,0, -   , -   ,0,0, -   
2006,Vanuatu,0,0,0,1,5,0,0,4341010,0,4341010,13,0,13,4341009.943,0,"4,341,010", -   ,0,4341009.943,"4,341,010"
2007,Vanuatu,0,0,2,1,10,0,0,0,0,0,11,0,11,0,0, -   , -   ,0,0, -   
2008,Vanuatu,0,0,1,1,18,0,0,7937727,0,7937727,9,0,9,7937726.616,0, -   ,"7,937,727",0,7937726.616, -   
2009,Vanuatu,0,0,2,1,25,0,0,3935586,0,3935586,9,0,9,3935586.484,0,"3,935,586", -   ,0,3935586.484, -   
2010,Vanuatu,0,0,1,1,27,0,0,0,0,0,12,1,13,0,0, -   , -   ,0,0, -   
2011,Vanuatu,0,0,1,1,33,0,0,0,0,0,8,0,8,0,0, -   , -   ,0,0, -   
2012,Vanuatu,0,0,0,1,42,0,52952,0,0,52952,3,0,3,52951.77174,0, -   , -   ,0,52951.77174, -   
2013,Vanuatu,0,0,1,1,33,0,0,108141888,0,108141888,5,1,6,108141887.8,0,"108,141,888", -   ,0,108141887.8,"3,009,590"
2014,Vanuatu,0,0,0,2,50,0,0,87905001,0,87905001,6,0,6,87905001.46,0,"87,905,001", -   ,0,87905001.46, -   
2015,Vanuatu,0,0,1,2,73,0,4905490,0,0,4905490,4,1,5,4905489.665,0, -   , -   ,0,4905489.665, -   
2016,Vanuatu,0,0,,2,158,0,0,0,0,0,,,0,0,0, -   , -   ,0,0, -   
2000,Vietnam,0,0,3,5,,0,0,124377804,0,124377804,50,5,55,124377804.1,0, -   ,"124,377,804",0,124377804.1, -   
2001,Vietnam,0,0,7,8,,0,0,0,0,0,77,9,86,0,0, -   , -   ,0,0, -   
2002,Vietnam,0,0,1,8,2336,0,0,193245067,0,193245067,8,0,8,193245067.1,0, -   ,"193,245,067",0,193245067.1, -   
2003,Vietnam,0,0,0,8,3487,0,0,39929032,0,39929032,8,1,9,0,39929032.1,"39,929,032", -   ,0,39929032.1, -   
2004,Vietnam,0,0,0,9,4382,0,0,720865781,0,720865781,8,0,8,0,205667252.5,"205,667,253","515,198,528",0,720865781, -   
2005,Vietnam,0,0,0,10,5842,0,0,900202988,0,900202988,5,1,6,14381630.05,0,"837,350,918","62,852,070",0,900202988.1,"14,381,630"
2006,Vietnam,0,0,0,12,7310,0,0,684260889,0,684260889,6,1,7,0,270393416, -   ,"684,260,889",0,684260889.4, -   
2007,Vietnam,0,0,0,14,9702,0,0,0,0,0,9,0,9,0,0, -   , -   ,0,0, -   
2008,Vietnam,0,0,1,16,10396,0,0,0,0,0,10,1,11,0,0, -   , -   ,0,0, -   
2009,Vietnam,0,0,2,18,12247,0,0,242242134,0,242242134,11,2,13,0,0, -   ,"242,242,134",0,242242133.6, -   
2010,Vietnam,0,0,1,22,13018,0,12577,377309426,0,377322003,11,0,11,12576.98088,0, -   ,"377,309,426",0,377322003.4, -   
2011,Vietnam,0,0,0,24,13549,0,0,158728188,0,158728188,8,1,9,0,158728187.6, -   ,"158,728,188",0,158728187.6, -   
2012,Vietnam,0,0,0,25,13038,0,10590,0,0,10590,14,0,14,10590.35435,0, -   , -   ,0,10590.35435, -   
2013,Vietnam,0,0,1,30,12799,0,0,305026009,0,305026009,9,1,10,0,0,"305,026,009", -   ,305026009.2,0, -   
2014,Vietnam,0,0,0,30,10658,0,0,0,0,0,14,0,14,0,0, -   , -   ,0,0, -   
2015,Vietnam,0,0,0,34,10031,0,0,0,0,0,13,3,16,0,0, -   , -   ,0,0, -   
2016,Vietnam,0,0,,35,10639,0,0,0,0,0,,,0,0,0, -   , -   ,0,0, -   
